S.No,Category,Post Title,Slug,Official Source URL,Organization,Total Posts / Seats,Application Begin,Last Date to Apply,Fee Payment Last Date,Exam / Event Date,Age Limits,Application Fees,Apply Online URL,Notification PDF URL,Official Website URL,Verification Status
1,LATEST-JOBS,Himachal Pradesh High Court Various Post Recruitment 2026,himachal-pradesh-high-court-various-post-2026,https://sarkariresult.com.cm/himachal-pradesh-high-court-various-post-2026/,Himachal Pradesh High Court Various Post,388 Posts,August 2026,September 2026,September 2026,Notify Soon,"{""Minimum Age"": ""18 Years"", ""Maximum Age"": ""45-50 Years (Category Wise)""}","{""For General"": ""₹ 450/-"", ""For OBC, EWS, SC, ST, PH"": ""₹ 300/- (Only For Himanchal Pradesh Candidates)"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Question"": ""What is the official website for HP High Court?"", ""Answer"": ""The age limit for Himachal Pradesh High Court Various Post Bharti 2026 is as follows:""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
2,LATEST-JOBS,RCF Kapurthala Apprentice Recruitment 2026,rcf-kapurthala-apprentice-2026,https://sarkariresult.com.cm/rcf-kapurthala-apprentice-2026/,RCF Kapurthala Apprentice,734 Posts,August 2026,September 2026,September 2026,Notify Soon,"{""Minimum Age"": ""15 Year"", ""Maximum Age"": ""24 Year"", ""Answer"": ""The age limit for RCF Kapurthala Apprentice Bharti 2026 is as follows on official website.""}","{""Merit List"": ""Notify Later"", ""For General/ OBC/ EWS"": ""₹ 100/-"", ""For SC/ ST/ PH / Female"": ""₹ 00/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Question"": ""What is the official website for RCF?"", ""Answer"": ""Candidates must have passed 10th class, or ITI, from a recognized board/institution.""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
3,LATEST-JOBS,Railway ICF Apprentice Recruitment 2026,railway-icf-apprentice-2026,https://sarkariresult.com.cm/railway-icf-apprentice-2026/,Railway ICF Trade Apprentice,1010 Posts,August 2026,September 2026,September 2026,Notify Soon,"{""Age Limit"": ""15-22 Years (Non-ITI Candidate)"", ""Answer"": ""The age limit for Railway ICF Trade Apprentices Bharti 2026 is as follows:""}","{""For General/ OBC/ EWS Candidates"": ""₹ 100/-"", ""For SC/ ST/PH Candidates"": ""₹ 00/-"", ""For All Female Category Candidates"": ""₹ 00/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Question"": ""What is the official website for Railway ICF?"", ""Answer"": ""Candidates must have Class 10 (Matric) with 50% marks and an ITI certificate in the relevant trade. For trade-wise eligibility, check the official notification.""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
4,LATEST-JOBS,GIMS Noida Staff Nurse Recruitment 2026,gims-noida-staff-nurse-2026,https://sarkariresult.com.cm/gims-noida-staff-nurse-2026/,GIMS Noida Staff Nurse,100 posts,August 2026,September 2026,September 2026,Notify Later,"{""For Minimum Age"": ""21 Years"", ""For Maximum Age"": ""40 Years""}","{""General, OBC, EWS"": ""₹ 1298/-"", ""SC, ST"": ""₹ 944/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""For Degree Holder"": ""B.Sc Nursing (4-Year) or B.Sc Nursing (Post Basic) (2-Year) from an INC/State Council-recognized University/Institute + Registered as a Nurse & Midwife with the State/Indian Nursing Council."", ""For Diploma Holder"": ""Diploma in General Nursing Midwifery (GNM) from an INC-recognized Board/Council + Registered as Nurse & Midwife with the State/Indian Nursing Council + 2 years’ experience in a minimum 50-bedded hospital after completing the diploma."", ""Question"": ""What is the official website for GIMS Noida?"", ""Answer"": ""The eligibility criteria for the GIMS Noida Staff Nurse Vacancy 2026 are as follows on UPSSSC rules.""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
5,LATEST-JOBS,UPSSSC Veterinary Pharmacist Recruitment 2026,upsssc-veterinary-pharmacist-2026,https://sarkariresult.com.cm/upsssc-veterinary-pharmacist-2026/,UPSSSC Veterinary Pharmacist,1308 posts,August 2026,September 2026,September 2026,Notify Later,"{""For Minimum Age"": ""18 Years"", ""For Maximum Age"": ""40 Years""}","{""General, OBC, EWS"": ""₹ 25/-"", ""SC, ST"": ""₹ 25/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Question"": ""What is the official website for UPSSSC?"", ""Answer"": ""The official website for UPSSSC is https://upsssc.gov.in//default.aspx""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
6,LATEST-JOBS,UPSSSC Junior Engineer JE (Agriculture) Recruitment 2026,upsssc-junior-engineer-je-agriculture-2026,https://sarkariresult.com.cm/upsssc-junior-engineer-je-agriculture-2026/,UPSSSC Junior Engineer JE (Agriculture),134 posts,August 2026,September 2026,September 2026,Notify Later,"{""For Minimum Age"": ""18 Years"", ""For Maximum Age"": ""40 Years""}","{""General, OBC, EWS"": ""₹ 25/-"", ""SC, ST"": ""₹ 25/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Question"": ""What is the official website for UPSSSC?"", ""Answer"": ""The official website for UPSSSC is https://upsssc.gov.in//default.aspx""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
7,LATEST-JOBS,"RRVUNL JE, Junior Assistant Recruitment 2026",rrvunl-je-junior-assistant-2026,https://sarkariresult.com.cm/rrvunl-je-junior-assistant-2026/,"RRVUNL JE, Junior Assistant",2005 Posts,August 2026,September 2026,September 2026,Notify Later,"{""Minimum Age"": ""18 Years"", ""Maximum Age"": ""40 Years""}","{""For General"": ""₹ 1000/-"", ""For MBC/ BC / EWS"": ""₹ 500/-"", ""For SC/ ST/ PH Candidates"": ""₹ 500/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Junior Accountant & Junior Assistant/ Commercial Assistant-II"": ""18-40 Years"", ""You May Also Check"": ""SSC CGL Recruitment 2026"", ""Question"": ""What is the official website for RRVUNL ?"", ""Answer"": ""The official website for RRVUNL is https://energy.rajasthan.gov.in/rrvun/#/pages/sm/department-page/373376/2700""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
8,LATEST-JOBS,UP Anganwadi Bharti Recruitment 2026,up-anganwadi-bharti-2026,https://sarkariresult.com.cm/up-anganwadi-bharti-2026/,UP Anganwadi Bharti Examination 2025,Various Posts,August 2026,September 2026,September 2026,Notify Soon,"{""For Minimum Age"": ""18 years"", ""For Maximum Age"": ""35 years"", ""Answer"": ""The age limit for candidates applying for this recruitment is as per the rules of UP Anganwadi. For detailed age information, please refer to the official notification.""}","{""Application Start"": ""November 2025"", ""Question"": ""What is the official website of UP Anganwadi? Answer: The official website of UP Anganwadi is https://upanganwadibharti.in/."", ""Answer"": ""The online application for this recruitment started in November 2025.""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
9,LATEST-JOBS,UPSSSC PET Online Form 2026,upsssc-pet-2026,https://sarkariresult.com.cm/upsssc-pet-2026/,UPSSSC PET,Various Posts,August 2026,01 September 2026,01 September 2026,Update Soon,"{""For Minimum Age"": ""18 Years"", ""For Maximum Age"": ""40 Years""}","{""Application Start"": ""03 August 2026"", ""For General, OBC"": ""₹ 185/-"", ""For SC, ST"": ""₹ 95/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Question"": ""What is the official website of UPSSSC?"", ""Answer"": ""The official website of UPSSSC is https://upsssc.gov.in/.""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
10,LATEST-JOBS,MP High Court Assistant Grade III Recruitment 2026,mp-high-court-assistant-grade-iii-2026,https://sarkariresult.com.cm/mp-high-court-assistant-grade-iii-2026/,MP High Court Assistant Grade III,1174 Posts,August 2026,September 2026,September 2026,Notify Soon,"{""Minimum Age"": ""18 Year"", ""Maximum Age"": ""40 – 45 Year""}","{""For General/ Other State"": ""₹ 943.40/-"", ""For SC/ ST/ OBC/ EWS"": ""₹ 743.40/-"", ""Payment Mode (Online)"": ""You can make the payment using the following methods: Debit Card Credit Card Internet Banking IMPS Cash Card / Mobile Wallet"", ""Question"": ""What is the official website for MPHC?"", ""Answer"": ""The eligibility for MP High Court Assistant Grade III Bharti 2026 is as follows post wise.""}",https://studytopper.in/,https://studytopper.in/,https://studytopper.in/,100% REAL SOURCE VERIFIED
